Teams,Random Seeds
Alohas_Hormel,0
GPT-5,1
try_it,2
Vitamina C,3
Slay,4
ADMENTIS,5
¯\_(ツ)_/¯,6
Ctrl+Alt+Defeat,7
Ricky ReLU,8
De La Gaze,9
BogdanNLP,10
k0k,11
VNU,12
Cei 4 crai de la răsărit,13
UnknownID,14
Asta e numele?,15
syntax samurai,16
ValceaKlan,17
vitamina c,18
No book no part,19
Stiinta48,20
Counting Numpys,21
HACKxFF,22
#960bb0,23
try_It,24
Prazilia,25
BOMBARDI€RII,26
medontknow,27
Machine learners,28
Debugging Divas,29
Urșii din Vale,30
9+10=21,31
Candlelight,32
eNeL3.14,33
NLP (Non-Linear Programmers),34
The Two Loners,35
DICT,36
Gheară,37
7daysMAX,38
Nicolina AI,39
Metropolis,40
4Neuroni,41
Syntax Samurais,42
sudo gimme pizza,43
Dragoon Lite,44
Bugbusters,45
urandom,46
Kernel Trick,47
CrackCoders,48
Admentis,49
,50
CTRL ALT DELETE,51
Syntax Samurai,52
LinguisticLegends,53
aOkay,54
nemaigandim,55
SupaDePui,56
Berceni Soft,57
CodeCrackers,58
BOMBARDI€RII (nu a fost ideea mea),59
cercopi-techs,60
Lexiconauts,61
IntelliJent,62
CorbuGPT,63
modnaru,64
De prună,65
CheatGPT,66
BlackOps,67
Cei 4 crai de la rasarit,68
Ursii din vale,69
